Date,Open,High,Low,Close,Adj Close,Volume
2023-05-30,200.100006,204.479996,197.529999,201.160004,201.160004,128818700
2023-05-31,199.779999,203.949997,195.119995,203.929993,203.929993,150711700
2023-06-01,202.589996,209.800003,199.369995,207.520004,207.520004,148029900
2023-06-02,210.149994,217.250000,209.750000,213.970001,213.970001,164129000
2023-06-05,217.800003,221.289993,214.520004,217.610001,217.610001,151143100
2023-06-06,216.139999,221.910004,212.529999,221.309998,221.309998,146911600
2023-06-07,228.000000,230.830002,223.199997,224.570007,224.570007,185710800
2023-06-08,224.220001,235.229996,223.009995,234.860001,234.860001,164489700
2023-06-09,249.070007,252.419998,242.020004,244.399994,244.399994,199882300
2023-06-12,247.940002,250.970001,244.589996,249.830002,249.830002,150337900
2023-06-13,253.509995,259.679993,251.339996,258.709991,258.709991,162384300
2023-06-14,260.170013,261.570007,250.500000,256.790009,256.790009,170575500
2023-06-15,248.399994,258.950012,247.289993,255.899994,255.899994,160171200
2023-06-16,258.920013,263.600006,257.209991,260.540009,260.540009,167563700
2023-06-20,261.500000,274.750000,261.119995,274.450012,274.450012,165611200
2023-06-21,275.130005,276.989990,257.779999,259.459991,259.459991,211797100
2023-06-22,250.770004,265.000000,248.250000,264.609985,264.609985,166875900
2023-06-23,259.290009,262.450012,252.800003,256.600006,256.600006,176584100
2023-06-26,250.070007,258.369995,240.699997,241.050003,241.050003,179990600
2023-06-27,243.240005,250.389999,240.850006,250.210007,250.210007,164968200
2023-06-28,249.699997,259.880005,248.889999,256.239990,256.239990,159770800
2023-06-29,258.029999,260.739990,253.610001,257.500000,257.500000,131283400
2023-06-30,260.600006,264.450012,259.890015,261.769989,261.769989,112267600
2023-07-03,276.489990,284.250000,275.109985,279.820007,279.820007,119685900
2023-07-05,278.820007,283.850006,277.600006,282.480011,282.480011,131530900
2023-07-06,278.089996,279.970001,272.880005,276.540009,276.540009,120332100
2023-07-07,278.429993,280.779999,273.769989,274.429993,274.429993,113602000
2023-07-10,276.470001,277.519989,265.100006,269.609985,269.609985,119425400
